Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2011,Cascades High School,333513,New York,New York,10002,<4,0,0,<4,0,"New York 100021301, NY
(40.72223015900005, -73.99080056199995)"
Fall 2010,Cascades High School,333513,New York,New York,10002,4,0,0,<4,<4,"New York 100021301, NY
(40.72223015900005, -73.99080056199995)"
Fall 2017,High School For Dual Language,333600,New York,New York,10002,44,40,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,High School For Dual Language,333600,New York,New York,10002,35,27,8,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Hs For Dual Language & Asian S,333600,New York,New York,10002,23,17,5,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Hs For Dual Language & Asian S,333600,New York,New York,10002,25,15,5,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Hs For Dual Language & Asian S,333600,New York,New York,10002,15,8,4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Hs For Dual Language & Asian S,333600,New York,New York,10002,9,5,<4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Hs For Dual Language & Asian S,333600,New York,New York,10002,11,4,6,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Hs For Dual Language & Asian S,333600,New York,New York,10002,15,12,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2017,Essex Street Academy,333693,New York,New York,10002,18,<4,8,<4,6,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Essex Street Academy,333693,New York,New York,10002,27,<4,14,5,7,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Essex Street Academy,333693,New York,New York,10002,21,0,8,8,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Essex Street Academy,333693,New York,New York,10002,22,<4,12,5,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Essex Street Academy,333693,New York,New York,10002,13,<4,9,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Essex Street Academy,333693,New York,New York,10002,16,<4,4,4,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Essex Street Academy,333693,New York,New York,10002,11,0,7,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Essex Street Academy,333693,New York,New York,10002,16,0,9,5,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2017,Lower Manhattan Arts Academy,333731,New York,New York,10002,18,<4,7,<4,8,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Lower Manhattan Arts Academy,333731,New York,New York,10002,9,0,7,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Lower Manhattan Arts Academy,333731,New York,New York,10002,14,0,10,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Lower Manhattan Arts Academy,333731,New York,New York,10002,13,0,7,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Lower Manhattan Arts Academy,333731,New York,New York,10002,13,<4,<4,6,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Lower Manhattan Arts Academy,333731,New York,New York,10002,8,0,4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Lower Manhattan Arts Academy,333731,New York,New York,10002,7,<4,<4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Lower Manhattan Arts Academy,333731,New York,New York,10002,9,<4,6,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Leadership Secondary School,333737,New York,New York,10002,<4,0,0,0,<4,"10002 New
York, NY
(40.7161839999999, -73.9857039999999)"
Fall 2017,Lower East Side Preparatory,333754,New York,New York,10002,8,<4,<4,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Lower East Side Preparatory,333754,New York,New York,10002,6,4,<4,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Lower East Side Preparatory,333754,New York,New York,10002,15,5,4,<4,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Lower East Side Preparatory,333754,New York,New York,10002,18,5,7,<4,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Lower East Side Preparatory,333754,New York,New York,10002,4,0,<4,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Lower East Side Preparatory,333754,New York,New York,10002,11,<4,7,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Lower East Side Preparatory,333754,New York,New York,10002,4,<4,<4,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Lower East Side Preparatory,333754,New York,New York,10002,6,4,0,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2017,Marta Valle High School,333794,New York,New York,10002,8,<4,5,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Marta Valle High School,333794,New York,New York,10002,8,<4,<4,0,4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Marta Valle High School,333794,New York,New York,10002,11,0,9,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Marta Valle High School,333794,New York,New York,10002,7,<4,<4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Marta Valle High School,333794,New York,New York,10002,<4,0,0,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Marta Valle High School,333794,New York,New York,10002,<4,0,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Marta Valle High School,333794,New York,New York,10002,7,6,0,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Mesivtha Tifereth,333808,New York,New York,10002,<4,0,0,0,<4,"10002 New
York, NY
(40.7161839999999, -73.9857039999999)"
Fall 2017,New Design High School,333842,New York,New York,10002,8,<4,4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,New Design High School,333842,New York,New York,10002,17,4,10,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,New Design High School,333842,New York,New York,10002,17,0,11,<4,4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,New Design High School,333842,New York,New York,10002,20,<4,10,6,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,New Design High School,333842,New York,New York,10002,16,0,5,<4,8,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,New Design High School,333842,New York,New York,10002,12,0,6,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,New Design High School,333842,New York,New York,10002,11,0,<4,<4,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,New Design High School,333842,New York,New York,10002,8,<4,0,4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2017,New Explorations Into Science,333843,New York,New York,10002,51,42,5,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,New Explorations Into Science,333843,New York,New York,10002,36,24,11,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,New Explorations Into Science,333843,New York,New York,10002,22,13,6,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,New Explorations Into Science,333843,New York,New York,10002,22,19,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,New Explorations Into Science,333843,New York,New York,10002,28,17,8,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,New Explorations Into Science,333843,New York,New York,10002,21,13,<4,<4,4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,New Explorations Into Science,333843,New York,New York,10002,11,8,<4,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,New Explorations Into Science,333843,New York,New York,10002,7,4,<4,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2017,Pace High School,333866,New York,New York,10002,15,6,4,0,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Pace High School,333866,New York,New York,10002,27,10,10,<4,4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Pace High School,333866,New York,New York,10002,21,6,9,4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Pace High School,333866,New York,New York,10002,23,5,9,<4,7,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Pace High School,333866,New York,New York,10002,15,<4,7,4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Pace High School,333866,New York,New York,10002,13,<4,8,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Pace High School,333866,New York,New York,10002,20,<4,13,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Pace High School,333866,New York,New York,10002,14,7,5,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Orchard Collegiate Academy,334022,New York,New York,10002,<4,<4,0,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Henry Street Sch Intnl Studies,334022,New York,New York,10002,11,<4,5,0,4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Henry Street Sch Intnl Studies,334022,New York,New York,10002,4,<4,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Henry Street Sch Intnl Studies,334022,New York,New York,10002,4,0,<4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Henry Street Sch Intnl Studies,334022,New York,New York,10002,<4,0,0,<4,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Henry Street Sch Intnl Studies,334022,New York,New York,10002,<4,0,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Henry Street Sch Intnl Studies,334022,New York,New York,10002,<4,0,0,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Satellite Academy Forsyth,334033,New York,New York,10002,4,0,0,0,4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Satellite Academy High School,334033,New York,New York,10002,5,0,0,0,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Satellite Academy High School,334033,New York,New York,10002,<4,0,0,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Satellite Academy High School,334033,New York,New York,10002,4,0,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Satellite Academy High School,334033,New York,New York,10002,<4,0,0,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,Satellite Academy High School,334033,New York,New York,10002,<4,0,0,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,Satellite Academy High School,334033,New York,New York,10002,5,0,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
